region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-0.7814,1.7945,-1.4992,-1.4992,0.686,0.7019
CHN,-1.2333,2.2703,-2.1414,-2.1414,0.7455,0.8268
IND,-1.7661,3.7016,-3.2467,-3.2467,1.3379,1.4093
EU,-1.5186,2.986,-2.713,-2.713,1.0323,1.1133
MENA_GCC,2.6286,0.7331,2.3354,2.3354,1.7542,1.0237
MENA_OTHER,0.5866,2.681,-0.4858,-0.4858,1.9019,1.4871
SSA,-1.4341,4.177,-3.1049,-3.1049,1.7891,1.73
LAC,-0.4863,2.1059,-1.3286,-1.3286,1.0204,0.9313
ROW,-0.8636,1.7945,-1.5814,-1.5814,0.6449,0.6814
