region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-0.7945,2.6495,-1.8543,-1.8543,1.1924,1.1261
CHN,-1.4603,3.2921,-2.7771,-2.7771,1.2451,1.281
IND,-2.0742,5.2418,-4.1709,-4.1709,2.108,2.1024
EU,-2.1161,5.1048,-4.158,-4.158,2.0048,2.0234
MENA_GCC,2.6831,1.1142,2.2374,2.2374,2.0101,1.2279
MENA_OTHER,0.4588,3.5917,-0.9779,-0.9779,2.3844,1.9105
SSA,-1.392,4.8405,-3.3282,-3.3282,2.2083,2.0723
LAC,-0.5666,2.7865,-1.6812,-1.6812,1.3886,1.2516
ROW,-1.0165,2.6495,-2.0763,-2.0763,1.0815,1.0706
