region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-0.7694,1.757,-1.4722,-1.4722,0.6695,0.6861
CHN,-1.1536,2.1974,-2.0325,-2.0325,0.7417,0.8103
IND,-1.6541,3.6124,-3.099,-3.099,1.3404,1.3927
EU,-1.3383,2.7963,-2.4568,-2.4568,1.0087,1.0636
MENA_GCC,2.5929,0.6756,2.3227,2.3227,1.7018,0.986
MENA_OTHER,0.6374,2.6589,-0.4261,-0.4261,1.9141,1.4888
SSA,-1.4127,4.2643,-3.1185,-3.1185,1.8522,1.779
LAC,-0.4439,2.0974,-1.2828,-1.2828,1.0365,0.9377
ROW,-0.8139,1.757,-1.5166,-1.5166,0.6472,0.675
