region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-0.7198,2.7989,-1.8393,-1.8393,1.3195,1.2195
CHN,-1.2783,3.4422,-2.6551,-2.6551,1.4262,1.4015
IND,-1.7889,5.4654,-3.9751,-3.9751,2.3848,2.2855
EU,-1.8224,5.3591,-3.966,-3.966,2.3043,2.224
MENA_GCC,2.7484,1.0078,2.3453,2.3453,1.9789,1.191
MENA_OTHER,0.6058,3.7008,-0.8745,-0.8745,2.5234,2.0019
SSA,-1.2023,5.1035,-3.2437,-3.2437,2.461,2.2512
LAC,-0.4756,2.9366,-1.6502,-1.6502,1.5242,1.3494
ROW,-0.8883,2.7989,-2.0078,-2.0078,1.2352,1.1774
