scenario_id,model_id,status,resource_class,node,slurm_job_id,task_id,runtime_seconds,started_at,completed_at,error_message
swift_escalated,messageix,failed,cpu,quadro1,25807,0,1.5863097375258803,2026-05-04T23:41:27.673029+00:00,2026-05-04T23:41:30.097949+00:00,JVMNotFoundException: No JVM shared library file (libjvm.so) found. Try setting up the JAVA_HOME environment variable properly.
swift_escalated,temoa,skipped,cpu,quadro1,25807,1,,2026-05-04T23:41:30.898203+00:00,2026-05-04T23:41:31.774875+00:00,Not yet implemented: TEMOA baseline DB not found: Models/Energy/TEMOA/data_files/utopia.sqlite. Vendor a baseline SQLite (e.g. utopia.sqlite) under Models/Energy/TEMOA/data_files/ or override TEMOAConfig.baseline_db_path.
prolonged_escalated,miragrodep,skipped,cpu,quadro1,25807,10,,2026-05-04T23:41:54.167789+00:00,2026-05-04T23:41:54.983920+00:00,"Not yet implemented: MIRAGRODEP requires the 'gams' executable on PATH (GAMS + a CONOPT/PATH licence). Install GAMS and ensure 'gams' is on PATH, or set MIRAGRODEPConfig.gams_executable to its absolute path."
prolonged_escalated,osemosys,skipped,cpu,quadro1,25807,11,,2026-05-04T23:41:55.791166+00:00,2026-05-04T23:41:56.665428+00:00,Not yet implemented: OSeMOSYS baseline_data_dir not found: data/osemosys/baseline. Provide a baseline dataset (CSV-per-parameter layout).
prolonged_escalated,messageix,failed,cpu,quadro1,25807,12,1.0116836819797754,2026-05-04T23:41:57.434919+00:00,2026-05-04T23:41:59.278020+00:00,JVMNotFoundException: No JVM shared library file (libjvm.so) found. Try setting up the JAVA_HOME environment variable properly.
prolonged_escalated,temoa,skipped,cpu,quadro1,25807,13,,2026-05-04T23:42:00.069482+00:00,2026-05-04T23:42:00.962823+00:00,Not yet implemented: TEMOA baseline DB not found: Models/Energy/TEMOA/data_files/utopia.sqlite. Vendor a baseline SQLite (e.g. utopia.sqlite) under Models/Energy/TEMOA/data_files/ or override TEMOAConfig.baseline_db_path.
infrastructure_collapse,fed_oil,completed,cpu,quadro1,25807,14,0.0001964811235666275,2026-05-04T23:42:01.652848+00:00,2026-05-04T23:42:02.484997+00:00,
infrastructure_collapse,gtap,skipped,cpu,quadro1,25807,15,,2026-05-04T23:42:03.180861+00:00,2026-05-04T23:42:04.069067+00:00,"Not yet implemented: GTAPAdapter.execute is not yet implemented. Real integration requires: (1) a licensed GTAP database (version 10+, from the GTAP Center at Purdue University), (2) a GTAP model software installation (RunGTAP or FlexGTAP), (3) writing shock and closure files specifying oil price, fertilizer cost, and trade-route disruption shocks, (4) invoking the GTAP executable via subprocess, and (5) parsing the HAR/SOL solution file for welfare (EV by region), bilateral trade flows, and producer/consumer price changes by sector."
infrastructure_collapse,nems,failed,cpu,quadro1,25807,16,,2026-05-04T23:42:04.743809+00:00,2026-05-04T23:42:05.635417+00:00,"Validation failed: scenario_id 'infrastructure_collapse' not in NEMS output mapping. Available: baseline, prolonged_contained, prolonged_escalated, swift_contained, swift_escalated"
infrastructure_collapse,mam,completed,cpu,quadro1,25807,17,0.19919193722307682,2026-05-04T23:42:06.371236+00:00,2026-05-04T23:42:07.387675+00:00,
infrastructure_collapse,nrel,completed,cpu,quadro1,25807,18,0.00026523228734731674,2026-05-04T23:42:08.106066+00:00,2026-05-04T23:42:08.936857+00:00,
infrastructure_collapse,mpsge_jl,completed,cpu,quadro1,25807,19,0.00033151544630527496,2026-05-04T23:42:09.608280+00:00,2026-05-04T23:42:10.477136+00:00,
prolonged_escalated,fed_oil,completed,cpu,quadro1,25807,2,0.00017907097935676575,2026-05-04T23:41:32.480809+00:00,2026-05-04T23:41:33.291537+00:00,
infrastructure_collapse,opencge,failed,cpu,quadro1,25807,20,4.609199174679816,2026-05-04T23:42:11.178491+00:00,2026-05-04T23:42:16.617383+00:00,"ValidationError: {
    ""errors"": {
        ""Z"": [
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list."",
            ""Not a valid list.""
        ],
        ""delta_tau_annual"": [
            ""Not a valid list.""
        ]
    }
}"
infrastructure_collapse,pycge,completed,cpu,quadro1,25807,21,3.022943951189518,2026-05-04T23:42:17.672411+00:00,2026-05-04T23:42:21.539604+00:00,
