,,,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
,,,Cons,Prod,pipe,LNG,trade,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-R,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG
SDS-Vision,NOR,NOR,6.773457685,122.3981894,-109.503204,-6.121527753,-115.6247317,,170.6574171,6.121527778,,,8.053954504,112.0866112,-102.9928346,-1.039822081,-104.0326567,,,,,170.6574171,6.121527778,,,8.526039674,104.0451145,-91.10256049,-4.416514332,-95.51907483,,,,,,,170.6574171,6.121527778,,,9.089229906,100.2775176,-85.06675995,-6.121527753,-91.18828771,,,,,,,170.6574171,6.121527778,,,9.773809407,99.58244399,-83.68710682,-6.121527768,-89.80863458,,,4.64338E-09,,,,170.6574171,6.121527782,,,10.58462337,100.7232866,-84.0171354,-6.121527779,-90.13866318,,,1.55735E-08,,,,170.6574171,6.121527793,,,11.22839587,98.83146704,-81.48154336,-6.121527809,-87.60307117,,,4.29477E-08,,,,170.6574171,6.121527821,,,11.53929367,100.7129875,-83.05216605,-6.121527823,-89.17369387,,,5.52576E-08,,,,170.6574171,6.121527833,,
SDS-Vision,RUS,RUS,447.0486776,642.3600196,-181.0730706,-13.50480414,-194.5778748,485.001,854.1494621,13.50480414,,74.2,439.8929654,680.285675,-190.7566519,-49.24244284,-239.9990947,,9.52088E-08,,490.001,684.4373065,59.8847253,,74.2,435.1671402,692.2262397,-206.2545943,-50.40537118,-256.6599655,,1.570554642,3.89378E-09,,1.12895E-09,490.001,686.007861,59.88472531,,74.2,416.3828054,668.9614871,-202.1658302,-49.91305936,-252.0788896,3.48106E-09,6.687907219,2.0831E-08,,2.56564E-09,490.001,691.1252136,59.88472532,,74.2,387.1083504,659.3949263,-200.9666618,-70.72214557,-271.6888074,2.38754E-08,14.34042753,20.89671546,,4.39199E-09,490.001,698.7777339,80.78144076,,74.2,365.9049174,664.7014903,-196.8675122,-101.215651,-298.0831632,2.301797463,24.2180342,51.485113,,6.71082E-09,492.3027975,708.6553406,111.3698383,,74.20000001,359.9242688,666.8740748,-205.1426476,-101.1207589,-306.2634065,7.578248563,37.30699183,51.4851131,,9.65083E-09,497.5792486,721.7442982,111.3698384,,74.20000001,351.9347213,652.7177307,-199.11192,-101.0258668,-300.1377868,7.578248596,39.27023305,51.48511312,,1.33719E-08,497.5792486,723.7075394,111.3698384,,74.20000001
SDS-Vision,NAM,CAN,99.07460076,162.4990633,-63.12673151,,-63.12673151,136.399943,282.7125462,,,19.551,103.6166444,177.7336676,-55.12773636,-18.71364475,-73.84138111,,,,133.209893,279.3545988,18.71364476,,19.551,107.9124475,193.9847715,-67.06094805,-18.71364497,-85.77459302,5.12898E-08,,2.26802E-07,,1.14681E-09,133.2098931,279.3545988,18.71364499,,19.551,104.9242851,191.2873288,-67.3516677,-18.71364507,-86.06531277,5.97611E-08,,3.28062E-07,,2.60075E-09,133.2098931,279.3545988,18.71364509,,19.551,100.597284,178.6667357,-59.05807552,-18.71364517,-77.77172069,6.49057E-08,,4.29677E-07,,4.43784E-09,133.2098931,279.3545988,18.71364519,,19.551,97.24938187,164.2462861,-47.98552803,-18.71364527,-66.6991733,6.91364E-08,,5.39487E-07,,6.7682E-09,133.2098931,279.3545988,18.7136453,,19.55100001,93.51533099,149.1629138,-36.6362064,-18.71364545,-55.34985185,8.10694E-08,7.73434E-09,7.21052E-07,,9.72192E-09,133.2098931,279.3545988,18.71364548,,19.55100001,90.55891089,133.9649269,-24.39463949,-18.71364553,-43.10828502,9.92014E-08,2.61331E-08,7.92912E-07,,1.34604E-08,133.2098931,279.3545989,18.71364555,,19.55100001
SDS-Vision,NAM,MEX,77.35894796,38.27208455,39.086863,3.79239E-07,39.08686337,74.09626772,16.50098037,,23.3,,77.67186691,47.76256241,29.90930361,8.65639E-07,29.90930448,,,,112.2658195,16.50098037,,23.3,,80.58154982,51.94822056,28.63332772,1.51065E-06,28.63332923,,,,,,112.2658195,16.50098037,,23.3,,77.58017767,51.70324263,25.87693328,1.72169E-06,25.87693501,,,,,,112.2658195,16.50098037,,23.3,,74.96497794,47.6169593,27.34801644,2.13784E-06,27.34801858,,,,,,112.2658195,16.50098037,,23.3,,73.16006034,43.52195322,29.63810429,2.69519E-06,29.63810698,,,,,,112.2658195,16.50098037,,23.3,,69.94408745,39.44462472,30.49945936,3.19348E-06,30.49946256,,,,,,112.2658195,16.50098037,,23.3,,66.65386984,35.40239596,31.25146998,3.63236E-06,31.25147361,3.89127E-09,4.00593E-09,,,,112.2658195,16.50098037,,23.3,
SDS-Vision,NAM,USA,775.1345602,765.7196177,11.87232519,-0.618632551,11.25369264,1909.934915,1868.862695,0.618632885,11,135.726,798.8202858,865.732954,14.1946507,-79.10857597,-64.91392527,,,,2084.224965,2085.26921,138.4964371,11,137.162,854.0238343,931.6874305,25.91592085,-101.5414497,-75.62552887,,5.33712E-08,22.72511906,,5.08411E-09,2084.224965,2085.26921,161.2215561,11,137.162,819.727107,925.3822293,29.87591554,-133.5718186,-103.6959031,,6.21864E-08,22.72511907,,1.14901E-08,2084.224965,2085.26921,161.2215561,11,137.162,730.9765152,853.3753024,21.20069704,-141.724422,-120.523725,,6.75397E-08,22.72511908,,1.95525E-08,2084.224965,2085.26921,161.2215561,11,137.162,643.086364,780.5829177,9.158399315,-144.9618618,-135.8034625,2.36596E-08,9.59365E-08,22.72511908,,2.9757E-08,2084.224965,2085.26921,161.2215561,11,137.162,550.0307561,708.5646192,-1.704201766,-155.3152832,-157.0194849,1.01031E-07,1.79104E-07,22.72511908,,4.26719E-08,2084.224965,2085.26921,161.2215561,11,137.162,462.2762731,636.3128594,-13.54647501,-159.1855772,-172.7320522,2.29086E-07,3.09647E-07,22.72511908,,5.9072E-08,2084.224965,2085.26921,161.2215561,11,137.1620001
SDS-Vision,SAM,ARG,49.93447602,40.52994243,5.641163272,3.764893175,9.406056447,7.907,10.86561582,,10.2,0.1,52.70020659,39.6799922,6.938686849,6.083050398,13.02173725,,,,7.907,10.86561582,,11.2,0.1,53.03702504,40.07891618,7.344288042,5.615343659,12.9596317,,,,,3.08086E-09,7.907,10.86561582,,11.2,0.100000003,55.0357693,42.58453679,6.837411659,5.615343679,12.45275534,,,,,7.04701E-09,7.907,10.86561582,,11.2,0.100000007,54.61383525,42.541583,6.544864622,5.528910447,12.07377507,,,,,1.22908E-08,7.907,10.86561582,,11.2,0.100000012,54.97211063,42.61055642,6.747732679,5.615344316,12.363077,,3.72708E-09,,,1.90676E-08,7.907,10.86561582,,11.2,0.100000019,54.99140695,42.69943966,6.68352799,5.609962064,12.29349005,4.15333E-09,8.48411E-09,,,2.7781E-08,7.907000004,10.86561582,,11.2,0.100000028,54.58754417,42.81733194,6.573288971,5.198445983,11.77173495,9.08477E-09,1.45549E-08,,,3.83424E-08,7.907000009,10.86561583,,11.2,0.100000038
SDS-Vision,SAM,BOL,4.039629513,22.44517185,-18.40554234,,-18.40554234,,18.49457856,,,,3.900324961,22.28752993,-18.38720496,,-18.38720496,,,,,18.49457856,,,,4.033579666,22.43072865,-18.39714898,,-18.39714898,,4.03317E-09,,,,,18.49457856,,,,4.500851686,22.99543025,-18.49457856,,-18.49457856,,5.26169E-08,,,,,18.49457861,,,,4.146075138,23.85029546,-19.70422033,,-19.70422033,,1.233487506,,,,,19.72806606,,,,4.149918511,23.89057388,-19.74065536,,-19.74065536,,1.265903875,,,,,19.76048243,,,,4.145336134,23.92628885,-19.78095272,,-19.78095272,,1.301326813,,,,,19.79590537,,,,4.171625969,23.96753108,-19.79590511,,-19.79590511,,1.301326864,,,,,19.79590542,,,
SDS-Vision,SAM,BRA,37.0429333,24.79390432,10.00000006,2.249028897,12.24902896,15.5,,,15.8,,35.07922808,23.95895866,9.9685758,1.15169361,11.12026941,,,,15.5,,,15.8,,34.08962625,23.94150317,9.905493456,0.242629596,10.14812305,3.91217E-09,,,,,15.5,,,15.8,,35.8941165,25.89411549,10.00000018,7.99443E-07,10.00000098,5.10383E-08,,,,,15.50000005,,,15.8,,38.83662157,26.02455573,11.19648318,1.615582633,12.81206582,1.19648288,,,,,16.69648288,,,15.8,,43.47428979,26.07202006,11.22792714,6.174342522,17.40226967,1.227926759,,,,,16.72792676,,,15.8,,47.13057735,26.14966264,11.26228753,9.718627101,20.98091463,1.262287004,,,,,16.762287,,,15.8,,49.82442762,26.25106528,11.26228788,12.31107434,23.57336221,1.262287049,,,,,16.76228705,,,15.8,
