,,,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
,,,Cons,Prod,pipe,LNG,trade,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-R,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG,Cons,Prod,pipe,LNG,trade,expcum-P+,expcum-P-,expcum-L,expcum-R,expcum-WG,captot-P+,captot-P-,captot-L,captot-R,captot-WG
NPS-Ref,NOR,NOR,6.778288386,122.3766967,-109.4768805,-6.121527755,-115.5984083,,170.6574171,6.121527778,,,7.974750336,114.2498737,-106.2751226,-8.02408E-07,-106.2751234,,,,,170.6574171,6.121527778,,,8.197288184,106.9597278,-98.76243832,-1.2827E-06,-98.7624396,,,,,,,170.6574171,6.121527778,,,8.896523538,102.4337092,-93.5371838,-1.81148E-06,-93.53718562,,,,,,,170.6574171,6.121527778,,,9.6018522,101.8438172,-92.24196278,-2.19824E-06,-92.24196497,,,,,,,170.6574171,6.121527778,,,10.37735627,102.0816851,-91.70432608,-2.70573E-06,-91.70432879,,,,,,,170.6574171,6.121527778,,,10.91996873,102.7741153,-91.85414302,-3.53482E-06,-91.85414655,,,,,,,170.6574171,6.121527778,,,11.25087638,103.0067936,-91.75591241,-4.79628E-06,-91.75591721,,,,,,,170.6574171,6.121527778,,
NPS-Ref,RUS,RUS,447.2779272,642.2280776,-180.7131262,-13.50480414,-194.2179303,485.001,854.1494621,13.50480414,,74.2,446.2990873,694.6635483,-198.4057967,-49.58309872,-247.9888954,,4.285411274,,490.001,688.7227176,59.8847253,,74.2,453.2985963,728.499602,-223.8313554,-50.97828138,-274.8096368,,12.8562338,,,1.03016E-09,490.001,697.2935402,59.8847253,,74.2,442.537336,751.5788515,-257.2714435,-51.42187804,-308.6933215,3.86773E-09,60.13201746,,,2.33547E-09,490.001,744.5693238,59.8847253,,74.2,445.4874852,775.454413,-277.3811728,-52.19904099,-329.5802138,9.12797E-09,76.15521693,4.66745E-09,,3.98299E-09,490.001,760.5925233,59.88472531,,74.2,452.7511351,811.9543153,-305.2761999,-53.50264432,-358.7788442,1.64545E-08,96.99158956,1.16781E-08,,6.05716E-09,490.001,781.4288959,59.88472531,,74.20000001,460.0943628,836.5333589,-321.3382089,-54.66258376,-376.0007927,2.62065E-08,105.7378105,1.98618E-08,,8.68721E-09,490.001,790.1751169,59.88472532,,74.20000001,464.4305756,857.0756521,-336.8099944,-55.58248459,-392.392479,4.19278E-08,105.7378109,2.63264E-08,,1.20438E-08,490.001,790.1751172,59.88472533,,74.20000001
NPS-Ref,NAM,CAN,99.07460079,162.4990649,-63.12673306,,-63.12673306,136.399943,282.7125462,,,19.551,104.3926938,172.5300941,-49.12602442,-18.71364475,-67.83966917,,,,133.209893,279.3545988,18.71364476,,19.551,114.9814837,164.5895459,-30.59668621,-18.71364498,-49.31033118,3.11565E-08,,2.3304E-07,,1.0716E-09,133.2098931,279.3545988,18.71364499,,19.551,121.9616283,169.196628,-28.22362357,-18.71364508,-46.93726865,3.62646E-08,,3.33955E-07,,2.43669E-09,133.2098931,279.3545988,18.7136451,,19.551,134.5530174,190.8459801,-37.2815865,-18.71364526,-55.99523176,4.09773E-08,,5.1978E-07,,4.17408E-09,133.2098931,279.3545988,18.71364528,,19.551,145.8870872,218.0306193,-43.69679896,-28.14900219,-71.84580114,4.60381E-08,,9.43535745,,6.38128E-09,133.2098931,279.3545988,28.14900221,,19.55100001,156.0576051,243.4840879,-40.64303472,-46.48571711,-87.12875183,5.92185E-08,3.72481E-09,27.77207237,,9.17931E-09,133.2098931,279.3545988,46.48571714,,19.55100001,167.2783869,261.2857669,-47.26424101,-46.48571717,-93.74995818,7.83026E-08,2.12801E-08,27.77207243,,1.27169E-08,133.2098931,279.3545989,46.48571719,,19.55100001
NPS-Ref,NAM,MEX,77.35894805,38.27208453,39.08686311,3.55575E-07,39.08686347,74.09626772,16.50098037,,23.3,,80.42305418,37.49627025,42.92678316,7.49013E-07,42.92678391,,,,112.2658195,16.50098037,,23.3,,89.6040724,36.38463358,53.21943753,1.27006E-06,53.2194388,,,,,,112.2658195,16.50098037,,23.3,,94.8325815,39.45908359,55.3734963,1.57244E-06,55.37349787,,,,,,112.2658195,16.50098037,,23.3,,103.8214901,49.83373333,53.98775485,1.85007E-06,53.9877567,,,,,,112.2658195,16.50098037,,23.3,,110.8322621,60.1891366,50.64312318,2.19446E-06,50.64312538,,,,,,112.2658195,16.50098037,,23.3,,117.5858829,69.52495686,48.06092333,2.53429E-06,48.06092586,,,,,,112.2658195,16.50098037,,23.3,,125.2637235,77.03097866,48.23274165,2.95696E-06,48.23274461,3.64877E-09,3.76288E-09,,,,112.2658195,16.50098037,,23.3,
NPS-Ref,NAM,USA,775.1345609,765.7196169,11.87232665,-0.618632572,11.25369408,1909.934915,1868.862695,0.618632885,11,135.726,774.5428247,889.489715,-4.272156185,-108.7519554,-113.0241116,,,,2084.224965,2085.26921,138.4964371,11,137.162,823.16565,991.0718535,-33.60253261,-132.2501196,-165.8526522,,3.24209E-08,26.66666666,,4.86074E-09,2084.224965,2085.26921,165.1631037,11,137.162,840.0268952,1026.044907,-38.18590327,-145.8889167,-184.07482,,3.77363E-08,32.00138095,,1.10696E-08,2084.224965,2085.26921,170.497818,11,137.162,865.4686339,1057.899857,-28.44411421,-162.0954241,-190.5395384,,4.26403E-08,35.14228192,,1.90094E-08,2084.224965,2085.26921,173.638719,11,137.162,869.271232,1064.558109,-18.88358751,-174.6402211,-193.5238086,1.53319E-08,6.34478E-08,38.17976562,,2.91235E-08,2084.224965,2085.26921,176.6762027,11,137.162,874.8258917,1072.758073,-19.20855898,-176.95231,-196.160869,7.06014E-08,1.29418E-07,38.45587503,,4.19514E-08,2084.224965,2085.26921,176.9523121,11,137.162,891.9805847,1084.073108,-13.34151279,-176.9523099,-190.2938227,1.91016E-07,2.54032E-07,38.45587505,,5.81648E-08,2084.224965,2085.26921,176.9523121,11,137.1620001
NPS-Ref,SAM,ARG,49.94796689,40.52921315,5.640137535,3.780139088,9.420276623,7.907,10.86561582,,10.2,0.1,56.57527259,47.61617383,5.565106095,3.395515518,8.960621613,,,,7.907,10.86561582,,11.2,0.1,59.6099551,52.90594469,4.593807769,2.111725475,6.705533244,,4.3432E-09,,,4.16019E-09,7.907,10.86561582,,11.2,0.100000004,69.17730533,67.87938318,1.299443452,1.53157E-06,1.299444984,,1.4226E-08,,,9.9639E-09,7.907,10.86561583,,11.2,0.10000001,82.53438772,84.22866605,-1.692756305,7.95071E-07,-1.69275551,,1.166155545,,,1.63938E-08,7.907,12.03177136,,11.2,0.100000016,95.44103752,97.72683083,-2.284271392,8.78003E-07,-2.284270513,,2.250369235,,,2.34896E-08,7.907,13.11598505,,11.2,0.100000023,106.6138885,109.0679943,-2.452583996,9.32634E-07,-2.452583064,,3.166865594,,,3.30693E-08,7.907,14.03248141,,11.2,0.100000033,115.7766896,118.0206287,-2.242417324,9.69259E-07,-2.242416354,,3.266984956,,,4.34462E-08,7.907,14.13260077,,11.2,0.100000043
NPS-Ref,SAM,BOL,4.039629513,22.44517186,-18.40554234,,-18.40554234,,18.49457856,,,,4.087486335,21.34256154,-17.25507521,,-17.25507521,,,,,18.49457856,,,,4.280871012,20.07226272,-15.79139171,,-15.79139171,,,,,,,18.49457856,,,,5.340949845,18.75643226,-13.41548242,,-13.41548242,,,,,,,18.49457856,,,,6.245065313,17.96827601,-11.72321069,,-11.72321069,,,,,,,18.49457856,,,,7.401427829,18.6186758,-11.21724797,,-11.21724797,,,,,,,18.49457856,,,,8.362094175,19.12081488,-10.7587207,,-10.7587207,,,,,,,18.49457856,,,,9.131045799,19.6000595,-10.4690137,,-10.4690137,,,,,,,18.49457856,,,
NPS-Ref,SAM,BRA,37.05995966,24.79317623,10.00000004,2.266783358,12.2667834,15.5,,,15.8,,36.90162095,26.40484918,9.620495748,0.876276005,10.49677175,,,,15.5,,,15.8,,37.91662053,28.41981853,9.02062571,0.476176271,9.496801981,,,,,,15.5,,,15.8,,47.174362,39.81279678,7.361564904,2.84286E-07,7.361565188,,,,,,15.5,,,15.8,,62.00092663,54.76711049,7.233815802,2.84764E-07,7.233816087,,,,,,15.5,,,15.8,,74.50365632,68.20944162,6.294214334,2.84925E-07,6.294214619,,,,,,15.5,,,15.8,,85.14586915,80.02502424,5.120844469,3.02034E-07,5.120844771,,,,,,15.5,,,15.8,,93.70758776,89.48442473,4.223162554,3.23612E-07,4.223162878,,,,,,15.5,,,15.8,
