,,,,,2015,2020,2025,2030,2035,2040,2045,2050
NPS-Ref,NOR,NOR,MEA,BHR,,6.92293E-10,5.79719E-09,7.45732E-09,8.44974E-09,1.08672E-08,1.4465E-08,1.67718E-08
NPS-Ref,NOR,NOR,MEA,ISR,,7.02534E-10,5.89257E-09,7.65964E-09,8.65403E-09,1.09419E-08,1.44773E-08,1.68019E-08
NPS-Ref,NOR,NOR,MEA,KWT,3.82415E-09,4.41103E-09,7.9736E-09,1.14461E-08,1.27948E-08,1.4272E-08,1.53007E-08,1.89349E-08
NPS-Ref,NOR,NOR,MEA,OMN,,8.35735E-10,2.62406E-09,3.34023E-09,5.9982E-09,7.02526E-09,8.12589E-09,9.1782E-09
NPS-Ref,NOR,NOR,AFR,EGY,,3.52729E-09,6.85551E-09,8.40275E-09,1.00498E-08,1.3778E-08,1.63562E-08,2.05685E-08
NPS-Ref,NOR,NOR,ASP,BGD,,5.91881E-09,1.89255E-08,3.21349E-08,4.30869E-08,6.18123E-08,8.68209E-08,1.17192E-07
NPS-Ref,NOR,NOR,ASP,CHN,8.83152E-08,7.58144E-08,1.01246E-07,1.65473E-07,2.21503E-07,2.93502E-07,4.0329E-07,5.83596E-07
NPS-Ref,NOR,NOR,ASP,IDN,,6.65097E-10,2.28121E-09,6.21552E-09,7.69309E-09,9.7171E-09,1.39292E-08,1.77684E-08
NPS-Ref,NOR,NOR,ASP,IND,1.42034E-07,8.79011E-08,1.15574E-07,1.41383E-07,1.60401E-07,1.83791E-07,2.60645E-07,3.84339E-07
NPS-Ref,NOR,NOR,ASP,JPN,2.718654012,4.70595E-08,4.24638E-08,7.0114E-08,7.38738E-08,8.00178E-08,1.17841E-07,1.92354E-07
NPS-Ref,NOR,NOR,ASP,KOR,0.89351068,4.97647E-08,4.85556E-08,8.13988E-08,1.00126E-07,1.24648E-07,1.74202E-07,2.61466E-07
NPS-Ref,NOR,NOR,ASP,MYS,4.87937E-09,5.21722E-09,8.43639E-09,1.16536E-08,1.45608E-08,1.95136E-08,2.50672E-08,3.39668E-08
NPS-Ref,NOR,NOR,ASP,PAK,,7.5749E-10,6.04731E-09,7.90625E-09,9.09753E-09,1.14705E-08,1.63504E-08,2.10442E-08
NPS-Ref,NOR,NOR,ASP,PHL,,4.57319E-09,1.33391E-08,2.27111E-08,3.04121E-08,4.01875E-08,5.66086E-08,7.33594E-08
NPS-Ref,NOR,NOR,ASP,SGP,2.77889E-08,2.712E-08,2.68166E-08,2.59515E-08,3.23612E-08,4.21327E-08,5.51474E-08,7.55095E-08
NPS-Ref,NOR,NOR,ASP,THA,5.80262E-09,8.35916E-09,1.82397E-08,3.03571E-08,3.78738E-08,4.85294E-08,7.15153E-08,1.12396E-07
NPS-Ref,NOR,NOR,ASP,TWN,0.567779994,2.08296E-08,2.46176E-08,3.58992E-08,4.11648E-08,5.35443E-08,7.98193E-08,1.30959E-07
NPS-Ref,NOR,NOR,ASP,VNM,,,8.10176E-09,1.30555E-08,1.93084E-08,3.19969E-08,4.30927E-08,5.42761E-08
NPS-Ref,RUS,RUS,NAM,CAN,8.86702E-10,1.03129E-08,1.1212E-08,1.32836E-08,1.38868E-08,1.7314E-08,1.81488E-08,1.8913E-08
NPS-Ref,RUS,RUS,NAM,MEX,9.83822E-10,1.37216E-08,1.40949E-08,1.53797E-08,1.64028E-08,2.03338E-08,2.08063E-08,2.5637E-08
NPS-Ref,RUS,RUS,NAM,USA,5.06464E-09,5.00795E-08,5.91724E-08,6.77704E-08,7.67123E-08,8.81139E-08,9.30503E-08,1.0003E-07
NPS-Ref,RUS,RUS,SAM,ARG,2.04277E-08,1.409469872,0.793645374,7.16274E-08,1.8576E-08,2.13938E-08,2.31139E-08,2.68443E-08
NPS-Ref,RUS,RUS,SAM,BRA,2.42258E-08,0.237490417,0.130043188,2.63987E-08,2.88474E-08,2.95244E-08,3.42666E-08,3.77401E-08
NPS-Ref,RUS,RUS,SAM,CHL,0.028552367,0.24618333,0.196940536,0.137143368,1.9238E-07,1.07265E-07,8.2443E-08,9.80169E-08
