,,,,,2015,2020,2025,2030,2035,2040,2045,2050
SDS-Vision,NOR,NOR,MEA,KWT,4.08348E-09,8.11611E-09,2.55776E-08,2.30005E-08,2.1981E-08,2.14789E-08,2.32711E-08,2.26417E-08
SDS-Vision,NOR,NOR,MEA,OMN,6.49058E-10,9.88069E-10,6.05596E-09,7.20695E-09,9.52938E-09,1.29888E-08,1.63004E-08,1.60543E-08
SDS-Vision,NOR,NOR,AFR,EGY,,6.93123E-09,1.59843E-08,1.26838E-08,1.61295E-08,2.02871E-08,2.62709E-08,2.7894E-08
SDS-Vision,NOR,NOR,ASP,BGD,,6.28655E-09,2.54708E-08,2.47482E-08,2.21794E-08,2.51446E-08,2.87298E-08,2.89024E-08
SDS-Vision,NOR,NOR,ASP,CHN,9.54073E-08,0.286889989,1.493584038,3.024281251,3.328208227,3.046431833,2.615744525,1.336656549
SDS-Vision,NOR,NOR,ASP,IDN,,7.6781E-10,6.90495E-09,8.71016E-09,1.10187E-08,1.45714E-08,1.47084E-08,1.70335E-08
SDS-Vision,NOR,NOR,ASP,IND,1.5364E-07,0.063917506,1.79099055,1.420348087,1.234618747,1.617016762,2.077564198,3.619332255
SDS-Vision,NOR,NOR,ASP,JPN,2.707316744,0.242089592,4.12463E-06,3.02969E-06,3.08059E-06,3.2005E-06,2.89703E-06,1.32018E-06
SDS-Vision,NOR,NOR,ASP,KOR,0.890001248,0.201328377,0.249049067,0.495700526,0.4316992,0.368125984,0.351813284,0.180687911
SDS-Vision,NOR,NOR,ASP,MYS,5.20329E-09,6.27635E-09,1.20493E-08,1.55475E-08,2.17372E-08,2.6798E-08,2.8856E-08,2.96372E-08
SDS-Vision,NOR,NOR,ASP,PAK,6.24197E-10,4.44122E-09,2.01473E-08,4.87577E-08,7.30759E-08,1.2204E-07,1.27452E-07,1.92184E-07
SDS-Vision,NOR,NOR,ASP,PHL,,4.8604E-09,1.37572E-08,1.44271E-08,1.60849E-08,1.85945E-08,2.19534E-08,2.27986E-08
SDS-Vision,NOR,NOR,ASP,SGP,2.97247E-08,4.23359E-08,4.0136E-08,4.19032E-08,4.85608E-08,5.92567E-08,5.89834E-08,5.95342E-08
SDS-Vision,NOR,NOR,ASP,THA,6.22714E-09,1.35343E-08,1.71026E-07,2.35163E-07,2.30506E-07,2.37107E-07,2.09083E-07,1.417E-07
SDS-Vision,NOR,NOR,ASP,TWN,0.565420245,0.094859014,0.162315692,0.302466025,0.248708945,0.215019853,0.205489922,0.125531673
SDS-Vision,NOR,NOR,ASP,VNM,,,9.0914E-09,1.03678E-08,1.25169E-08,1.44715E-08,1.79986E-08,1.93943E-08
SDS-Vision,RUS,RUS,NAM,CAN,9.44537E-10,1.19725E-08,1.51668E-08,1.43864E-08,1.7806E-08,2.54792E-08,2.59384E-08,2.55415E-08
SDS-Vision,RUS,RUS,NAM,MEX,1.04776E-09,1.60918E-08,2.02339E-08,1.91223E-08,2.50868E-08,3.18146E-08,3.59212E-08,3.56016E-08
SDS-Vision,RUS,RUS,NAM,USA,6.01739E-09,6.48001E-08,8.5986E-08,8.62448E-08,1.0097E-07,1.25683E-07,1.30299E-07,1.3231E-07
SDS-Vision,RUS,RUS,SAM,ARG,2.18929E-08,1.902887299,1.523020191,1.504133144,1.884662815,2.391794326,2.406048631,2.373622447
SDS-Vision,RUS,RUS,SAM,BRA,2.58885E-08,0.250536942,1.40574E-07,7.78793E-08,0.92059678,3.152927025,4.126135271,4.633828249
SDS-Vision,RUS,RUS,SAM,CHL,0.029011876,0.315039766,0.242938467,0.22181196,0.168803122,0.351718506,0.316616562,0.20787259
SDS-Vision,RUS,RUS,SAM,COL,,1.18543E-08,1.29579E-08,1.22825E-08,1.55225E-08,2.07796E-08,2.61265E-08,2.93181E-08
SDS-Vision,RUS,RUS,SAM,TTO,,,5.69364E-09,7.68683E-09,1.02369E-08,1.31884E-08,1.6614E-08,2.06958E-08
SDS-Vision,RUS,RUS,SAM,VEN,,1.0905E-08,1.18543E-08,1.09786E-08,1.25214E-08,1.69586E-08,1.95832E-08,2.19287E-08
SDS-Vision,RUS,RUS,EU,AUT,2.630199412,2.603814716,2.626216684,2.335928192,2.13234905,2.021348856,1.811559966,1.447811817
SDS-Vision,RUS,RUS,EU,BEL,4.168497402,4.450587528,4.986631588,4.977544357,4.460141812,4.001509998,4.452351897,4.16687793
SDS-Vision,RUS,RUS,EU,BGR,0.992296787,0.596642819,0.567477502,0.456288974,0.509046264,0.478843553,0.464791638,0.457892888
SDS-Vision,RUS,RUS,EU,CZE,2.161745044,2.407950956,2.331827109,1.976854012,1.739588029,1.600844311,1.366028014,1.006130026
SDS-Vision,RUS,RUS,EU,DEU,23.55369462,26.55397612,29.98794783,27.18489892,23.10549129,18.34146941,17.46166984,16.09512179
SDS-Vision,RUS,RUS,EU,DNK,0.639060419,0.773354174,0.967481995,1.069172294,0.887038328,0.717796719,0.600013729,0.368571738
SDS-Vision,RUS,RUS,EU,ESP,4.125584947,4.080213327,4.180106918,3.500244163,2.810595395,2.287392567,2.168768454,1.967506299
SDS-Vision,RUS,RUS,EU,EST,0.248751802,0.288258837,0.472105741,0.5141552,0.435215218,0.370251341,0.290772519,0.216580343
SDS-Vision,RUS,RUS,EU,FIN,2.921125978,3.031900874,3.795874497,4.508641251,4.590648944,4.569803535,4.043862506,3.512039441
SDS-Vision,RUS,RUS,EU,FRA,10.59739414,10.72119745,10.9375105,9.978582384,8.509905309,7.260317039,6.529184956,5.218497702
SDS-Vision,RUS,RUS,EU,GBR,12.83148391,11.09367602,8.883742586,7.209773119,5.748683555,4.18642361,3.139261842,2.675091901
SDS-Vision,RUS,RUS,EU,GRC,0.976401004,0.709009753,0.725688741,0.583701113,0.642699843,0.553640015,0.472634976,0.402039857
SDS-Vision,RUS,RUS,EU,HRV,0.508776182,0.435702176,0.415135443,0.350609572,0.267763936,0.208508305,0.194642453,0.159623718
SDS-Vision,RUS,RUS,EU,HUN,2.228695076,2.152754162,1.751557763,1.218515944,0.904636267,0.737983969,0.72962557,0.771464308
SDS-Vision,RUS,RUS,EU,IRL,0.980748081,0.812568845,0.660375626,0.553282733,0.38910344,0.235406047,0.164464268,0.135524012
SDS-Vision,RUS,RUS,EU,ITA,19.42520251,12.51571115,10.7281458,7.795544138,6.70351287,4.929462826,4.593983121,3.451288139
SDS-Vision,RUS,RUS,EU,LTU,0.811737968,0.822691083,1.117767977,0.992987519,0.86004233,0.739144923,0.638910806,0.556692189
SDS-Vision,RUS,RUS,EU,LVA,0.729657591,0.687286548,0.916232925,0.789420921,0.708288588,0.621299797,0.516443688,0.424099459
SDS-Vision,RUS,RUS,EU,NLD,8.048531702,8.356902046,8.13820609,7.095063189,6.258473962,5.38663263,5.1152996,4.453351758
SDS-Vision,RUS,RUS,EU,POL,4.316880668,5.172103096,6.058847181,5.927491347,4.051766151,2.475957078,1.490155334,0.413840219
SDS-Vision,RUS,RUS,EU,PRT,0.642675231,0.564224729,0.62401662,0.475980634,0.452754934,0.382346459,0.382795691,0.351015208
SDS-Vision,RUS,RUS,EU,ROM,3.204829499,1.430169281,1.147913298,0.926540365,1.335881515,1.191473617,1.122203056,1.084890694
SDS-Vision,RUS,RUS,EU,SVK,1.117142334,1.26281182,1.154841432,0.958768437,0.726803565,0.584610173,0.5345941,0.441265521
SDS-Vision,RUS,RUS,EU,SVN,0.265945255,0.251609603,0.217618216,0.218967915,0.186852731,0.156413225,0.175648538,0.175572975
SDS-Vision,RUS,RUS,EU,SWE,0.22523555,0.637769025,1.224053195,1.792904985,1.652229791,1.477302868,1.225871907,0.720563735
SDS-Vision,RUS,RUS,ROE,BLR,18.91255968,22.63842291,24.12372551,25.55287025,27.76606386,29.69424969,32.25106698,33.39491826
SDS-Vision,RUS,RUS,ROE,CHE,0.595295814,0.884133867,1.192938049,1.433377979,1.399036247,1.323361885,1.391145665,1.347708944
SDS-Vision,RUS,RUS,ROE,SRB,0.560223798,0.671142718,0.546858698,0.554148995,0.647748861,0.592689784,0.617162962,0.685377984
SDS-Vision,RUS,RUS,ROE,TUR,30.84457358,39.1968291,47.34112587,48.0008821,51.28882802,55.45134927,58.90430724,59.11592569
SDS-Vision,RUS,RUS,ROE,UKR,4.051243986,5.745040459,6.421077881,6.516726841,5.976154296,5.510601056,5.847932179,5.917817257
SDS-Vision,RUS,RUS,CAS,AZE,3.17545E-09,3.146034522,3.961591202,3.905437209,3.898377474,3.784684791,3.716467172,3.83236927
SDS-Vision,RUS,RUS,MEA,ARE,4.68703E-09,1.2213E-08,1.26325E-08,1.27633E-08,1.59078E-08,1.91748E-08,2.4025E-08,2.4455E-08
SDS-Vision,RUS,RUS,MEA,BHR,,1.21917E-08,1.33357E-08,1.59655E-08,1.85575E-08,2.46162E-08,2.75776E-08,2.88905E-08
SDS-Vision,RUS,RUS,MEA,ISR,2.10169E-09,1.22545E-08,1.3357E-08,1.60017E-08,1.85925E-08,2.43077E-08,2.71094E-08,2.8508E-08
SDS-Vision,RUS,RUS,MEA,KWT,1.19351E-08,0.152524464,5.95406E-08,4.30152E-08,3.72195E-08,3.53409E-08,3.51682E-08,3.29364E-08
SDS-Vision,RUS,RUS,MEA,OMN,7.72545E-10,5.14036E-09,7.21716E-09,8.65364E-09,1.18742E-08,1.71036E-08,2.16785E-08,2.07971E-08
SDS-Vision,RUS,RUS,AFR,EGY,6.53826E-09,1.06079E-07,2.8175E-08,2.11024E-08,2.50553E-08,3.25837E-08,4.07872E-08,4.24412E-08
SDS-Vision,RUS,RUS,ASP,BGD,,3.75165E-08,4.61416E-08,3.92496E-08,3.31162E-08,3.98444E-08,4.10715E-08,4.04125E-08
SDS-Vision,RUS,RUS,ASP,CHN,0.333192497,13.42219181,18.98948531,23.60959532,40.11500139,58.5963592,66.83054953,69.94946414
SDS-Vision,RUS,RUS,ASP,IDN,4.23962E-09,8.16612E-09,9.18817E-09,1.15042E-08,1.63539E-08,1.98085E-08,2.10309E-08,2.12835E-08
SDS-Vision,RUS,RUS,ASP,IND,0.278388094,6.928932707,8.928081361,8.453626792,13.9276487,20.88064396,23.85994618,25.46458583
SDS-Vision,RUS,RUS,ASP,JPN,7.456103703,11.09639833,7.943302274,7.808920979,7.830195734,6.931213819,4.710420612,2.443492378
SDS-Vision,RUS,RUS,ASP,KOR,2.374316157,4.092140112,3.449814968,3.738346786,4.608059266,5.66207042,5.395677765,5.489533235
SDS-Vision,RUS,RUS,ASP,MYS,8.01859E-09,1.66401E-08,1.63414E-08,2.086E-08,2.97463E-08,3.77018E-08,3.85057E-08,3.88465E-08
SDS-Vision,RUS,RUS,ASP,PAK,2.83218E-09,1.87838E-08,4.66785E-08,1.52714E-07,1.44011E-06,1.233348295,0.375010089,0.991551418
SDS-Vision,RUS,RUS,ASP,PHL,,2.1214E-08,2.25875E-08,2.39925E-08,2.48513E-08,3.10752E-08,3.24624E-08,3.29742E-08
SDS-Vision,RUS,RUS,ASP,SGP,8.68678E-08,0.934808244,6.04126E-08,6.05643E-08,7.28184E-08,9.16148E-08,8.54534E-08,8.43139E-08
SDS-Vision,RUS,RUS,ASP,THA,1.64863E-08,1.786098248,2.382734533,2.540648171,3.004297569,4.040917702,2.022686471,0.098810529
SDS-Vision,RUS,RUS,ASP,TWN,1.462240525,2.169848191,1.834655955,1.893386702,2.255958863,2.771078372,2.68427625,2.774602675
SDS-Vision,RUS,RUS,ASP,VNM,,,1.46826E-08,1.77019E-08,1.91919E-08,2.43408E-08,2.64055E-08,2.80581E-08
SDS-Vision,NAM,CAN,SAM,ARG,,4.53434E-08,8.74139E-08,8.66941E-08,9.27843E-08,1.37184E-07,1.58123E-07,1.65398E-07
SDS-Vision,NAM,CAN,SAM,BRA,,2.52498E-08,3.83281E-08,3.9134E-08,9.78134E-08,1.83973E-07,2.78165E-07,3.39434E-07
SDS-Vision,NAM,CAN,SAM,CHL,,1.025E-07,2.03831E-07,2.07995E-07,2.12141E-07,2.96912E-07,3.44164E-07,3.27045E-07
