region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-1.14,3.0628,-2.3651,-2.3651,1.2677,1.2464
CHN,-2.0685,3.7728,-3.5776,-3.5776,1.2294,1.3693
IND,-2.8791,5.9713,-5.2676,-5.2676,2.1432,2.2659
EU,-3.0045,5.9485,-5.3839,-5.3839,2.0669,2.2231
MENA_GCC,4.3702,1.115,3.9242,3.9242,2.8541,1.65
MENA_OTHER,0.9336,4.0139,-0.6719,-0.6719,2.8751,2.2403
SSA,-1.8761,5.4477,-4.0552,-4.0552,2.3306,2.2548
LAC,-0.769,3.183,-2.0422,-2.0422,1.5253,1.3992
ROW,-1.4297,3.0628,-2.6548,-2.6548,1.1229,1.174
