region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-0.9962,2.0668,-1.8229,-1.8229,0.742,0.7844
CHN,-1.5056,2.5964,-2.5442,-2.5442,0.8051,0.9218
IND,-2.1479,4.2621,-3.8528,-3.8528,1.4833,1.5941
EU,-1.7588,3.3102,-3.0829,-3.0829,1.1067,1.2154
MENA_GCC,3.3161,0.8138,2.9906,2.9906,2.1464,1.236
MENA_OTHER,0.7945,3.1308,-0.4578,-0.4578,2.2758,1.764
SSA,-1.8198,4.9999,-3.8197,-3.8197,2.09,2.045
LAC,-0.5811,2.4659,-1.5674,-1.5674,1.189,1.0877
ROW,-1.0555,2.0668,-1.8823,-1.8823,0.7123,0.7695
