region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-0.7444,1.712,-1.4292,-1.4292,0.655,0.6699
CHN,-1.1186,2.1434,-1.9759,-1.9759,0.7268,0.7921
IND,-1.6041,3.5224,-3.013,-3.013,1.3114,1.3602
EU,-1.3008,2.7288,-2.3923,-2.3923,0.9869,1.0392
MENA_GCC,2.5054,0.6621,2.2406,2.2406,1.6499,0.9574
MENA_OTHER,0.6124,2.5914,-0.4241,-0.4241,1.8611,1.4488
SSA,-1.3677,4.1518,-3.0285,-3.0285,1.8072,1.734
LAC,-0.4314,2.0434,-1.2487,-1.2487,1.0104,0.9139
ROW,-0.7889,1.712,-1.4736,-1.4736,0.6327,0.6588
