region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-0.701,2.7539,-1.8026,-1.8026,1.3018,1.2017
CHN,-1.252,3.3882,-2.6073,-2.6073,1.4069,1.3811
IND,-1.7514,5.3754,-3.9016,-3.9016,2.3496,2.2499
EU,-1.7942,5.2916,-3.9109,-3.9109,2.2779,2.1973
MENA_GCC,2.6828,0.9943,2.2851,2.2851,1.938,1.1678
MENA_OTHER,0.5871,3.6333,-0.8663,-0.8663,2.4735,1.9634
SSA,-1.1685,4.991,-3.1649,-3.1649,2.4103,2.2034
LAC,-0.4662,2.8826,-1.6193,-1.6193,1.4964,1.3247
ROW,-0.8695,2.7539,-1.9711,-1.9711,1.2176,1.1596
