region,gdp_impact_pct,cpi_inflation_pct,consumption_impact_pct,welfare_pct_change,wage_impact_pct,interest_rate_impact_pct
US,-0.147,1.3458,-0.6853,-0.6853,0.734,0.6362
CHN,-0.2218,1.615,-0.8677,-0.8677,0.8581,0.752
IND,-0.314,2.6416,-1.3706,-1.3706,1.428,1.2423
EU,-0.2655,2.2687,-1.1729,-1.1729,1.2285,1.068
MENA_GCC,0.5394,0.4037,0.3779,0.3779,0.512,0.3367
MENA_OTHER,0.147,1.8937,-0.6105,-0.6105,1.2097,0.9836
SSA,-0.2566,2.9395,-1.4324,-1.4324,1.6354,1.4056
LAC,-0.0785,1.515,-0.6845,-0.6845,0.8697,0.7379
ROW,-0.157,1.3458,-0.6953,-0.6953,0.729,0.6337
